act,scene,character,dialogue,line_number,paraphrased
Act I,Scene V,Ghost,"But, howsoever thou pursuest this act,",793," Regardless of how you approach it, though."
Act I,Scene V,Ghost,"Taint not thy mind, nor let thy soul contrive",794, Don't cloud your judgment or plan unwisely.
Act I,Scene V,Ghost,Against thy mother aught: leave her to heaven,795, Don't harm your mother in any way; let her be.
Act I,Scene V,Ghost,"And to those thorns that in her bosom lodge,",796," And to the thorns embedded within her,

or more colloquially:

   And to the thorns stuck in her,

(The word ""bosom"" was used in a metaphorical sense, implying interior or hidden parts of one's body.)"
Act I,Scene V,Ghost,To prick and sting her. Fare thee well at once!,797," To hurt and annoy her, goodbye right now!"
Act I,Scene V,Ghost,"The glow-worm shows the matin to be near,",798, The firefly signals that dawn is approaching
Act I,Scene V,Ghost,And 'gins to pale his uneffectual fire:,799, And it begins to lose its ineffective intensity.
Act I,Scene V,Ghost,"Adieu, adieu! Hamlet, remember me.",800," Goodbye, goodbye! Remember me, Hamlet. (Informal)

Goodbye, goodbye. Remember me, Hamlet. (Formal)"
Act I,Scene V,[stage direction],Exit,," Leave (or, more colloquially, ""get out"")"
Act I,Scene V,Hamlet,O all you host of heaven! O earth! what else?,801,"Oh, heavenly hosts! Oh, Earth! Anything else? (or) What else is there, heavens above and Earth below?"
Act I,Scene V,Hamlet,"And shall I couple hell? O, fie! Hold, hold, my heart;",802," And should I link hell? Oh, no way! Stop, stop, my heart;"
Act I,Scene V,Hamlet,"And you, my sinews, grow not instant old,",803," And you, my muscles, do not age instantly."
Act I,Scene V,Hamlet,But bear me stiffly up. Remember thee!,804," Carry me carefully, remember me!"
Act I,Scene V,Hamlet,"Ay, thou poor ghost, while memory holds a seat",805," Oh, you poor ghost, as long as memory lasts."
Act I,Scene V,Hamlet,In this distracted globe. Remember thee!,806," In this distraction-filled world, remember yourself!"
Act I,Scene V,Hamlet,"Yea, from the table of my memory",807," Yes, from the depths of my memory"
Act I,Scene V,Hamlet,"I'll wipe away all trivial fond records,",808, I'll erase all insignificant memories of affection.
Act I,Scene V,Hamlet,"All saws of books, all forms, all pressures past,",809," All book formats, all histories, all pressures from the past"
Act I,Scene V,Hamlet,That youth and observation copied there;,810, That's where youth learns by observing
Act I,Scene V,Hamlet,And thy commandment all alone shall live,811, And only your commandment will endure.
Act I,Scene V,Hamlet,"Within the book and volume of my brain,",812," Inside my mind (or head), there is a lot to read."
Act I,Scene V,Hamlet,"Unmix'd with baser matter: yes, by heaven!",813," Unadulterated: Absolutely, by heaven!"
Act I,Scene V,Hamlet,O most pernicious woman!,814," Oh, most insidious lady!"
Act I,Scene V,Hamlet,"O villain, villain, smiling, damned villain!",815," O wicked person, wicked person, grinning, despicable wicked person!"
Act I,Scene V,Hamlet,"My tables,--meet it is I set it down,",816," My records, -- I am the one who compiled them."
Act I,Scene V,Hamlet,"That one may smile, and smile, and be a villain;",817," One can appear friendly, yet still act deceitfully."
Act I,Scene V,Hamlet,At least I'm sure it may be so in Denmark:,818," At least, it seems plausible that this could be true in Denmark."
Act I,Scene V,[stage direction],Writing,, Composing text (informal)
Act I,Scene V,Hamlet,"So, uncle, there you are. Now to my word;",819," Hey Uncle, good to see you! Let's get down to business now."
Act I,Scene V,Hamlet,"It is 'Adieu, adieu! remember me.'",820," It's ""Goodbye, goodbye! Remember me."""
Act I,Scene V,Hamlet,I have sworn 't.,821, I've taken a vow.
Act I,Scene V,Horatio,"[Within]  My lord, my lord,--",822," My lord, my lord,-- (exclamation, informal)

*Sir, sir,-- (formal)

*My good sir, my good sir,-- (very formal)"
Act I,Scene V,Marcellus,"[Within]	Lord Hamlet,--",823," Lord Hamlet, -- (In modern English) Within Lord Hamlet,"
Act I,Scene V,Horatio,"[Within]	Heaven secure him!",824, May heaven protect him!
Act I,Scene V,Hamlet,So be it!,825, Let it be so!
Act I,Scene V,Horatio,"[Within]  Hillo, ho, ho, my lord!",826," Hello, hello, hello, my lord!"
Act I,Scene V,Hamlet,"Hillo, ho, ho, boy! come, bird, come.",827," Hey there, buddy! Come on over! Fly along, please!"
Act I,Scene V,[stage direction],Enter HORATIO and MARCELLUS,, Enter Horatio and Marcellus (informally)
Act I,Scene V,Marcellus,"How is't, my noble lord?",828," How are you, my lord?"
Act I,Scene V,Horatio,"What news, my lord?",829," What's up, my man? (informal)
or
Any updates, my lord? (more formal)"
Act I,Scene V,Hamlet,"O, wonderful!",830," Oh, fantastic!"
Act I,Scene V,Horatio,"Good my lord, tell it.",831," Good sir, could you please share that information?"
Act I,Scene V,Hamlet,No; you'll reveal it.,832, Negative; you'll disclose it.
Act I,Scene V,Horatio,"Not I, my lord, by heaven.",833," Not me, my lord, I swear."
Act I,Scene V,Marcellus,"Nor I, my lord.",834," I'm not either, my lord."
Act I,Scene V,Hamlet,"How say you, then; would heart of man once think it?",835, How do you feel about that idea now; could a human heart ever conceive it?
Act I,Scene V,Hamlet,But you'll be secret?,836, But will it be confidential?
Act I,Scene V,Marcellus,"Ay, by heaven, my lord.",837,"Oh, my lord, indeed."
Act I,Scene V,Hamlet,There's ne'er a villain dwelling in all Denmark,838, There is no villain living anywhere in Denmark.
Act I,Scene V,Hamlet,But he's an arrant knave.,839, But he's a shameless rogue.
Act I,Scene V,Horatio,"There needs no ghost, my lord, come from the grave",840," My lord, there's no need for a ghost to rise from the dead."
Act I,Scene V,Horatio,To tell us this.,841, To inform us of this.
Act I,Scene V,Hamlet,"Why, right; you are i' the right;",842," Why, indeed; you are absolutely correct."
Act I,Scene V,Hamlet,"And so, without more circumstance at all,",843," And thus, without any further detail."
Act I,Scene V,Hamlet,I hold it fit that we shake hands and part:,844, I think it's appropriate for us to shake hands and say our goodbyes.
Act I,Scene V,Hamlet,"You, as your business and desire shall point you;",845," You, based on your business and ambition, will guide yourself."
Act I,Scene V,Hamlet,"For every man has business and desire,",846, Every person has obligations and ambitions.
Act I,Scene V,Hamlet,"Such as it is; and for mine own poor part,",847," As it stands; and as for myself, I'd say..."
Act I,Scene V,Hamlet,"Look you, I'll go pray.",848,"I'm going to pray, so see ya."
Act I,Scene V,Horatio,"These are but wild and whirling words, my lord.",849," These are just empty and chaotic phrases, my lord."
Act I,Scene V,Hamlet,"I'm sorry they offend you, heartily;",850, I'm truly sorry if it upsets you.
Act I,Scene V,Hamlet,"Yes, 'faith heartily.",851," Yes, trust fully."
Act I,Scene V,Horatio,"There's no offence, my lord.",852," I'm not intending to offend you, my lord."
Act I,Scene V,Hamlet,"Yes, by Saint Patrick, but there is, Horatio,",853," Yes, indeed, but here's the deal, Horatio."
Act I,Scene V,Hamlet,"And much offence too. Touching this vision here,",854," And it caused a lot of controversy as well. This experience, you know."
Act I,Scene V,Hamlet,"It is an honest ghost, that let me tell you:",855," It's a genuinely friendly spirit, I assure you."
Act I,Scene V,Hamlet,"For your desire to know what is between us,",856," For your curiosity about our relationship,"
Act I,Scene V,Hamlet,"O'ermaster 't as you may. And now, good friends,",857," Take charge however you see fit. Now, dear companions,"
Act I,Scene V,Hamlet,"As you are friends, scholars and soldiers,",858," Since you're pals, intellectuals, and warriors,"
Act I,Scene V,Hamlet,Give me one poor request.,859, Make just one small request of me.
Act I,Scene V,Horatio,"What is't, my lord? we will.",860," What's up, my lord? We can do it."
Act I,Scene V,Hamlet,Never make known what you have seen to-night.,861, Never reveal what you saw tonight.
Act I,Scene V,Marcellus,"My lord, we will not.",862," My lord, we won't do it."
Act I,Scene V,Hamlet,"Nay, but swear't.",863," No, I assure you."
Act I,Scene V,Horatio,"In faith,",864, I trust or believe
Act I,Scene V,Horatio,"My lord, not I.",865," My lord, it's not me."
Act I,Scene V,Marcellus,"Nor I, my lord, in faith.",866," Nor I, my lord, in good faith."
Act I,Scene V,Hamlet,Upon my sword.,867, On my life (or honor).
Act I,Scene V,Marcellus,"We have sworn, my lord, already.",868," We've made a promise, my lord, already."
Act I,Scene V,Hamlet,"Indeed, upon my sword, indeed.",869," Absolutely, I swear to you."
Act I,Scene V,Ghost,[Beneath]  Swear.,870," Below, swear."
Act I,Scene V,Hamlet,"Ah, ha, boy! say'st thou so? art thou there,",871," Ah, hey there, buddy! You're saying that, aren't you? Are you really around?"
Act I,Scene V,Hamlet,truepenny?,872, Is Penny available?
Act I,Scene V,Hamlet,Come on--you hear this fellow in the cellarage--,873," Listen, can you hear someone down in the basement?"
Act I,Scene V,Hamlet,Consent to swear.,874, Give permission to take an oath.
Act I,Scene V,Horatio,"Propose the oath, my lord.",875," Suggest the pledge, sir."
Act I,Scene V,Hamlet,"Never to speak of this that you have seen,",876, Never mention what you've witnessed.
Act I,Scene V,Hamlet,Swear by my sword.,877, I swear on my sword.
Act I,Scene V,Ghost,[Beneath]  Swear.,878,Promise.
Act I,Scene V,Hamlet,Hic et ubique? then we'll shift our ground.,879," Here and everywhere, let's move our position instead."
Act I,Scene V,Hamlet,"Come hither, gentlemen,",880," Please come here, gentlemen."
Act I,Scene V,Hamlet,And lay your hands again upon my sword:,881, And place your hands once more on my weapon.
Act I,Scene V,Hamlet,"Never to speak of this that you have heard,",882, Never mention what you've learned about it.
Act I,Scene V,Hamlet,Swear by my sword.,883, Vow on my honor (or my life).
Act I,Scene V,Ghost,[Beneath]  Swear.,884," Promise. (Note that ""Swear"" here is used to mean promise, not swear as in curse or take an oath.)"
Act I,Scene V,Hamlet,"Well said, old mole! canst work i' the earth so fast?",885," Well put, ancient burrower! Can you dig so swiftly? (I attempted to make it more concise)"
Act I,Scene V,Hamlet,"A worthy pioner! Once more remove, good friends.",886," An excellent pioneer! Let's move on, companions."
Act I,Scene V,Horatio,"O day and night, but this is wondrous strange!",887,"Oh, day and night, this is incredibly unusual!"
Act I,Scene V,Hamlet,And therefore as a stranger give it welcome.,888," And thus, extend a warm welcome to it, being a foreigner. (Informal translation)

Or simply,

And so, welcome it as you would any stranger."
Act I,Scene V,Hamlet,"There are more things in heaven and earth, Horatio,",889," Horatio, there's a lot more to this world than we can imagine."
Act I,Scene V,Hamlet,Than are dreamt of in your philosophy. But come;,890," Beyond what's conceived in your philosophies, they arrive."
Act I,Scene V,Hamlet,"Here, as before, never, so help you mercy,",891," Here, just like before, absolutely not, I swear to goodness."
Act I,Scene V,Hamlet,"How strange or odd soe'er I bear myself,",892, However unusual or peculiar I might seem
Act I,Scene V,Hamlet,As I perchance hereafter shall think meet,893, As I consider appropriate in the future.
Act I,Scene V,Hamlet,"To put an antic disposition on,",894," To adopt a grumbly, contrary demeanor"
Act I,Scene V,Hamlet,"That you, at such times seeing me, never shall,",895," At those instances when you see me, you'll never do so."
Act I,Scene V,Hamlet,"With arms encumber'd thus, or this headshake,",896," With my arms tied up like this, or shaking my head."
Act I,Scene V,Hamlet,"Or by pronouncing of some doubtful phrase,",897," Or by uttering a questionable statement, perhaps..."
Act I,Scene V,Hamlet,"As 'Well, well, we know,' or 'We could, an if we would,'",898,"1) ""Well, it's clear,"" or ""We have the ability, if we choose to.""

2) ""Ah, so it seems,"" or ""We might, should we decide to.""

3) ""Indeed, we do know,"" or ""We could, given that we would.""

4) ""Obviously, this is understood,"" or ""We have the potential, if we wish to act.""

5) ""Well then, we're aware,"" or ""It's a possibility, provided we take action."""
Act I,Scene V,Hamlet,"Or 'If we list to speak,' or 'There be, an if they might,'",899," If we choose to talk, or if they were able to,"
Act I,Scene V,Hamlet,"Or such ambiguous giving out, to note",900," Or unclear sharing, to mark"
Act I,Scene V,Hamlet,"That you know aught of me: this not to do,",901, It's important not to assume you know anything about me.
Act I,Scene V,Hamlet,"So grace and mercy at your most need help you, Swear.",902," So grace and mercy are crucial when you're at your wit's end, swear it."
Act I,Scene V,Ghost,[Beneath]  Swear.,903, Promise under oath.
Act I,Scene V,Hamlet,"Rest, rest, perturbed spirit!",904," Rest, troubled soul, find peace."
Act I,Scene V,[stage direction],They swear,, They promise (or they affirm)
Act I,Scene V,Hamlet,"So, gentlemen,",905," Alright, folks, let's get started!"
Act I,Scene V,Hamlet,With all my love I do commend me to you:,906," With all my heart, I send you my love and affection."
Act I,Scene V,Hamlet,And what so poor a man as Hamlet is,907, And what commoner like Hamlet could be?
Act I,Scene V,Hamlet,"May do, to express his love and friending to you,",908, I might just do it to show my affection and friendship towards you.
Act I,Scene V,Hamlet,"God willing, shall not lack. Let us go in together;",909," God-willing, there'll be no shortage. Let's proceed side by side."
Act I,Scene V,Hamlet,"And still your fingers on your lips, I pray.",910, And please keep talking to yourself.
Act I,Scene V,Hamlet,"The time is out of joint: O cursed spite,",911," Time's out of balance: Oh, dreadful misfortune! (From Shakespeare's ""Hamlet"")"
Act I,Scene V,Hamlet,That ever I was born to set it right!,912,"No matter what, I'll make things right!"
Act I,Scene V,Hamlet,"Nay, come, let's go together.",913," Nope, come on, let's go as a team."
Act I,Scene V,[stage direction],Exeunt,, They exit (or leave)
Act II,Scene I,[stage direction],Enter POLONIUS and REYNALDO,, Enter Polonius and Reynaldo (modernized spelling)
Act II,Scene I,Lord Polonius,"Give him this money and these notes, Reynaldo.",914," Hand over this cash and these documents, Reynaldo."
Act II,Scene I,Reynaldo,"I will, my lord.",915," I'll do it, sir."
Act II,Scene I,Lord Polonius,"You shall do marvellous wisely, good Reynaldo,",916," You should act wisely and marvelously, good Reynaldo."
Act II,Scene I,Lord Polonius,"Before you visit him, to make inquire",917," Before visiting him, let's check if he's available."
Act II,Scene I,Lord Polonius,Of his behavior.,918, About his actions.
Act II,Scene I,Reynaldo,"My lord, I did intend it.",919," My lord, I meant to do it."
Act II,Scene I,Lord Polonius,"Marry, well said; very well said. Look you, sir,",920," Excellent point, sir. Indeed, well made. Now, let me see here...

Or more concisely:

Excellent, well said, sir. Let me take a look."
Act II,Scene I,Lord Polonius,Inquire me first what Danskers are in Paris;,921, Ask me first who Danish people are in Paris.
Act II,Scene I,Lord Polonius,"And how, and who, what means, and where they keep,",922," And how, who, what does it mean, and where is it stored?"
Act II,Scene I,Lord Polonius,"What company, at what expense; and finding",923," Which company, at what cost; and where did they find it?"
Act II,Scene I,Lord Polonius,By this encompassment and drift of question,924, Through this expansion and shift of inquiry
Act II,Scene I,Lord Polonius,"That they do know my son, come you more nearer",925, They recognize my son; please come closer
Act II,Scene I,Lord Polonius,Than your particular demands will touch it:,926," According to your specific requirements, it will be affected."
Act II,Scene I,Lord Polonius,"Take you, as 'twere, some distant knowledge of him;",927, Obtain some distant understanding or awareness of him.
Act II,Scene I,Lord Polonius,"As thus, 'I know his father and his friends,",928, I know his family and his circle of friends.
Act II,Scene I,Lord Polonius,"And in part him: ' do you mark this, Reynaldo?",929," And to Reynaldo, you're noting this, right?"
Act II,Scene I,Reynaldo,"Ay, very well, my lord.",930," Alright, of course, my lord."
Act II,Scene I,Lord Polonius,'And in part him; but' you may say 'not well:,931," ""But partially, he isn't doing so well."""
Act II,Scene I,Lord Polonius,"But, if't be he I mean, he's very wild;",932," But if he's who I'm referring to, he can be quite unruly."
Act II,Scene I,Lord Polonius,Addicted so and so:' and there put on him,933," ""So and so is addicted to,"" followed by whatever substance, behavior, etc., they're referring to."
Act II,Scene I,Lord Polonius,"What forgeries you please; marry, none so rank",934, What specific forgeries would you like? There's none more significant than these.
Act II,Scene I,Lord Polonius,As may dishonour him; take heed of that;,935, May dishonor him; be careful about that.
Act II,Scene I,Lord Polonius,"But, sir, such wanton, wild and usual slips",936," However, sir, these careless, reckless, and habitual mistakes, I take it?"
Act II,Scene I,Lord Polonius,As are companions noted and most known,937, As companions are well-known and widely recognized
Act II,Scene I,Lord Polonius,To youth and liberty.,938, To youth and freedom.
Act II,Scene I,Reynaldo,"As gaming, my lord.",939," As for gaming, my lord."
Act II,Scene I,Lord Polonius,"Ay, or drinking, fencing, swearing, quarrelling,",940," Yeah, or partying, sparring, arguing, bickering."
Act II,Scene I,Lord Polonius,Drabbing: you may go so far.,941, Exploring: feel free to venture as far as you'd like.
Act II,Scene I,Reynaldo,"My lord, that would dishonour him.",942," My lord, it would bring shame upon him."
Act II,Scene I,Lord Polonius,"'Faith, no; as you may season it in the charge",943," ""No faith, but feel free to flavor it as per instructions"""
Act II,Scene I,Lord Polonius,"You must not put another scandal on him,",944, Avoid adding any more scandals to his plate.
Act II,Scene I,Lord Polonius,That he is open to incontinency;,945, He's open to losing control or being careless.
Act II,Scene I,Lord Polonius,That's not my meaning: but breathe his faults so quaintly,946," That's not what I meant, though he makes his flaws seem charming."
Act II,Scene I,Lord Polonius,"That they may seem the taints of liberty,",947, So as to appear free from any blemishes related to freedom.
Act II,Scene I,Lord Polonius,"The flash and outbreak of a fiery mind,",948, The burst and emergence of a fiercely creative spirit
Act II,Scene I,Lord Polonius,"A savageness in unreclaimed blood,",949, A primal ferocity lingers in untouched DNA.
Act II,Scene I,Lord Polonius,Of general assault.,950," General assault charge(s)

or, more colloquially,

Assault charges (of a general nature)"
Act II,Scene I,Reynaldo,"But, my good lord,--",951," However, dear sir,--"
Act II,Scene I,Lord Polonius,Wherefore should you do this?,952, Why should you do this?
Act II,Scene I,Reynaldo,"Ay, my lord,",953," Ah, my lord, indeed."
Act II,Scene I,Reynaldo,I would know that.,954, I'd certainly be able to tell you that.
Act II,Scene I,Lord Polonius,"Marry, sir, here's my drift;",955," Here's what I'm getting at, sir;"
Act II,Scene I,Lord Polonius,"And I believe, it is a fetch of wit:",956," And I suspect, it's quite clever:"
Act II,Scene I,Lord Polonius,"You laying these slight sullies on my son,",957, You're casting subtle insults at my child.
Act II,Scene I,Lord Polonius,"As 'twere a thing a little soil'd i' the working, Mark you,",958, It seemed slightly disheveled due to use.
Act II,Scene I,Lord Polonius,"Your party in converse, him you would sound,",959, You should speak to them in a similar manner they communicate.
Act II,Scene I,Lord Polonius,Having ever seen in the prenominate crimes,960, Having ever witnessed such crimes mentioned beforehand.
Act II,Scene I,Lord Polonius,"The youth you breathe of guilty, be assured",961," The guilt you're breathing from the young ones, take note."
Act II,Scene I,Lord Polonius,He closes with you in this consequence;,962, He ends up with you due to this outcome.
Act II,Scene I,Lord Polonius,"'Good sir,' or so, or 'friend,' or 'gentleman,'",963," ""Hey there,"" or ""Hey,"" or ""Mate,"" or ""Dude"""
Act II,Scene I,Lord Polonius,According to the phrase or the addition,964, Based on the saying or the extra detail
Act II,Scene I,Lord Polonius,Of man and country.,965, About people and their homeland.
Act II,Scene I,Reynaldo,"Very good, my lord.",966," Excellent, sir."
Act II,Scene I,Lord Polonius,"And then, sir, does he this--he does--what was I",967," And then, sir, does he do this - he indeed does, what was I referring to?"
Act II,Scene I,Lord Polonius,"about to say? By the mass, I was about to say",968,"Ready to speak? Actually, I was just about to."
Act II,Scene I,Lord Polonius,something: where did I leave?,969, Where have I left it?
Act II,Scene I,Reynaldo,"At 'closes in the consequence,' at 'friend or so,'",970," At ""closures in the aftermath,"" at ""friend or something like that"""
Act II,Scene I,Reynaldo,and 'gentleman.',971," and a ""gentleman"" (informal) - ""and dude,"" for example, in modern English."
Act II,Scene I,Lord Polonius,"At 'closes in the consequence,' ay, marry;",972," At ""its closure,"" yes, certainly;"
Act II,Scene I,Lord Polonius,He closes thus: 'I know the gentleman;,973," He concludes with: ""I recognize him."""
Act II,Scene I,Lord Polonius,"I saw him yesterday, or t' other day,",974, I saw him either yesterday or the day before.
Act II,Scene I,Lord Polonius,"Or then, or then; with such, or such; and, as you say,",975," Either then, or then; with these, or those; and, as you put it."
Act II,Scene I,Lord Polonius,There was a' gaming; there o'ertook in's rouse;,976," There was gaming, and it captured his excitement."
Act II,Scene I,Lord Polonius,"There falling out at tennis:' or perchance,",977, There's a disagreement happening on the tennis court.
Act II,Scene I,Lord Polonius,"'I saw him enter such a house of sale,'",978," ""I observed him walking into that shop."""
Act II,Scene I,Lord Polonius,"Videlicet, a brothel, or so forth.",979," Specifically, a place of prostitution, and so on."
Act II,Scene I,Lord Polonius,See you now;,980, I'll see you right away.
Act II,Scene I,Lord Polonius,Your bait of falsehood takes this carp of truth:,981, Your deception lures the truthful one.
Act II,Scene I,Lord Polonius,"And thus do we of wisdom and of reach,",982," And so, we who possess wisdom and have the means to do so,

or more casually,

   And that's how those with knowledge and resources...

   And that's how the wise and capable among us..."
Act II,Scene I,Lord Polonius,"With windlasses and with assays of bias,",983," With winches and biased evaluations, (or) With windlasses and biased assessments, (or) Using winches and making biased determinations, (or) Using windlasses and measuring with a slant, (or) Winch operation and biased judgements, (or) Windlass utilization and biased evaluations"
Act II,Scene I,Lord Polonius,By indirections find directions out:,984," Through indirect means, you'll find a way."
Act II,Scene I,Lord Polonius,"So by my former lecture and advice,",985," Based on what I said before and suggested,"
Act II,Scene I,Lord Polonius,"Shall you my son. You have me, have you not?",986," Shouldn't you, my son? Don't I belong to you too?"
Act II,Scene I,Reynaldo,"My lord, I have.",987," My lord, I've got it."
Act II,Scene I,Lord Polonius,God be wi' you; fare you well.,988," Goodbye, take care of yourself."
Act II,Scene I,Reynaldo,Good my lord!,989," Hey, sir! (Informal)
   Good day, nobleman! (Formal)"
Act II,Scene I,Lord Polonius,Observe his inclination in yourself.,990, Pay attention to how much of him reflects within you.
Act II,Scene I,Reynaldo,"I shall, my lord.",991," I will, sir."
Act II,Scene I,Lord Polonius,And let him ply his music.,992, And let him play his music.
Act II,Scene I,Reynaldo,"Well, my lord.",993," Hey there, sir."
Act II,Scene I,Lord Polonius,Farewell!,994, Goodbye!
Act II,Scene I,[stage direction],Exit REYNALDO,, Exit Reynaldo (modern)
Act II,Scene I,[stage direction],Enter OPHELIA,," Enter Ophelia's Room (or simply, ""Go to Ophelia"")"
Act II,Scene I,Lord Polonius,"How now, Ophelia! what's the matter?",995," Hey Ophelia, what's going on?"
Act II,Scene I,Ophelia,"O, my lord, my lord, I have been so affrighted!",996," Oh, my lord, my lord, I've been terribly startled!"
Act II,Scene I,Lord Polonius,"With what, i' the name of God?",997," With what, in God's name?"
Act II,Scene I,Ophelia,"My lord, as I was sewing in my closet,",998," My lord, while I was working on some stitching in my private room."
Act II,Scene I,Ophelia,"Lord Hamlet, with his doublet all unbraced;",999," Lord Hamlet, not wearing his tied-up shirt"
Act II,Scene I,Ophelia,"No hat upon his head; his stockings foul'd,",1000," He wasn't wearing a hat, and his socks were dirty."
Act II,Scene I,Ophelia,"Ungarter'd, and down-gyved to his ancle;",1001," Unzipped, and lowered to his ankle;"
Act II,Scene I,Ophelia,Pale as his shirt; his knees knocking each other;,1002," Pale as a sheet, he was trembling, his legs knocking together."
Act II,Scene I,Ophelia,And with a look so piteous in purport,1003," And with such a pitiful appearance, perhaps, in intention"
Act II,Scene I,Ophelia,As if he had been loosed out of hell,1004, As if he'd just escaped from hell.
Act II,Scene I,Ophelia,"To speak of horrors,--he comes before me.",1005, He appears to me before I can even mention horror.
Act II,Scene I,Lord Polonius,Mad for thy love?,1006, Head over heels in love with you?
Act II,Scene I,Ophelia,"My lord, I do not know;",1007," My lord, I'm not sure."
Act II,Scene I,Ophelia,"But truly, I do fear it.",1008," Honestly, I'm quite anxious about it."
Act II,Scene I,Lord Polonius,What said he?,1009, What did they say? (Using gender-neutral pronoun)
Act II,Scene I,Ophelia,He took me by the wrist and held me hard;,1010, He grabbed my wrist firmly and held on tightly.
Act II,Scene I,Ophelia,Then goes he to the length of all his arm;,1011," Then, he stretches out his entire arm."
Act II,Scene I,Ophelia,"And, with his other hand thus o'er his brow,",1012," And, with his other hand covering his forehead,"
Act II,Scene I,Ophelia,He falls to such perusal of my face,1013, He has a close look at my face.
Act II,Scene I,Ophelia,As he would draw it. Long stay'd he so;,1014," He stayed there for a while, just as he had drawn it."
Act II,Scene I,Ophelia,"At last, a little shaking of mine arm",1015," At last, a slight shake from my arm now."
Act II,Scene I,Ophelia,"And thrice his head thus waving up and down,",1016," Three times, he nodded his head up and down."
Act II,Scene I,Ophelia,He raised a sigh so piteous and profound,1017, He let out a deeply sad and moving sigh.
Act II,Scene I,Ophelia,As it did seem to shatter all his bulk,1018," As it appeared to shatter all of it, seemingly. (Or) It seemed as though it shattered all of its mass."
Act II,Scene I,Ophelia,"And end his being: that done, he lets me go:",1019," And ends his existence; once that's complete, he releases me."
Act II,Scene I,Ophelia,"And, with his head over his shoulder turn'd,",1020, And he turned his head over his shoulder.
Act II,Scene I,Ophelia,He seem'd to find his way without his eyes;,1021, He appeared to navigate without needing his eyes.
Act II,Scene I,Ophelia,"For out o' doors he went without their helps,",1022, He ventured outside without assistance.
Act II,Scene I,Ophelia,"And, to the last, bended their light on me.",1023," And until the very end, their light shone upon me."
Act II,Scene I,Lord Polonius,"Come, go with me: I will go seek the king.",1024, Let's head there together: I'll find the king.
Act II,Scene I,Lord Polonius,"This is the very ecstasy of love,",1025, This is intense love joy
Act II,Scene I,Lord Polonius,Whose violent property fordoes itself,1026, Who destroys their own property violently?
Act II,Scene I,Lord Polonius,And leads the will to desperate undertakings,1027," And it propels one towards daring, desperate actions"
Act II,Scene I,Lord Polonius,As oft as any passion under heaven,1028," As often as any emotion on Earth

Alternatively, for a more colloquial version:
   About as frequently as any strong feeling or desire here on Earth."
Act II,Scene I,Lord Polonius,That does afflict our natures. I am sorry.,1029, That affects us deeply. I apologize.
Act II,Scene I,Lord Polonius,"What, have you given him any hard words of late?",1030, Have you said anything harsh to him recently?
Act II,Scene I,Ophelia,"No, my good lord, but, as you did command,",1031," No, my lord, as you requested."
Act II,Scene I,Ophelia,I did repel his fetters and denied,1032, I broke free from his chains and refused them.
Act II,Scene I,Ophelia,His access to me.,1033," His access to/about me. (If referring to a permission or ability, use ""access to""; if referring to a topic of conversation, use ""about"".)"
Act II,Scene I,Lord Polonius,That hath made him mad.,1034, That has driven him insane.
Act II,Scene I,Lord Polonius,I am sorry that with better heed and judgment,1035, I'm sorry for not paying closer attention and making wiser decisions.
Act II,Scene I,Lord Polonius,"I had not quoted him: I fear'd he did but trifle,",1036, I didn't attribute the statement to him; I thought he might have been joking.
Act II,Scene I,Lord Polonius,"And meant to wreck thee; but, beshrew my jealousy!",1037," And it was intended to harm you; however, I'm ashamed of my jealousy! (informal)
Or:
It was supposed to cause trouble for you; alas, my jealousy! (more formal)"
Act II,Scene I,Lord Polonius,"By heaven, it is as proper to our age",1038," Indeed, it's quite fitting for this era."
Act II,Scene I,Lord Polonius,To cast beyond ourselves in our opinions,1039, To extend our perspectives beyond our personal views
Act II,Scene I,Lord Polonius,As it is common for the younger sort,1040, It's typical among young people
Act II,Scene I,Lord Polonius,"To lack discretion. Come, go we to the king:",1041, To be without tact or prudence. Let's head to the king now.
Act II,Scene I,Lord Polonius,"This must be known; which, being kept close, might",1042," This needs to be clear; if it's confidential, keep it secure."
Act II,Scene I,Lord Polonius,move,1043," ""Relocate"" or simply, ""Go to a different place."""
Act II,Scene I,Lord Polonius,More grief to hide than hate to utter love.,1044, There's more to conceal than there is to express with love.
Act II,Scene I,[stage direction],Exeunt,, They exit. (From Latin)
Act II,Scene II,[stage direction],"Enter KING CLAUDIUS, QUEEN GERTRUDE, ROSENCRANTZ, GUILDENSTERN, and Attendants",," King Claudius, Queen Gertrude, Rosencrantz, Guildenstern, and their entourage enter."
Act II,Scene II,King Claudius,"Welcome, dear Rosencrantz and Guildenstern!",1045," Hello there, Rosencrantz and Guildenstern! How are you today?"
Act II,Scene II,King Claudius,"Moreover that we much did long to see you,",1046," Furthermore, we've been eagerly anticipating your visit."
Act II,Scene II,King Claudius,The need we have to use you did provoke,1047, The reason we needed to utilize you arose
Act II,Scene II,King Claudius,Our hasty sending. Something have you heard,1048, Our quick delivery. Have you any news about it?
Act II,Scene II,King Claudius,"Of Hamlet's transformation; so call it,",1049," Hamlet's change, if you will; I prefer that term."
Act II,Scene II,King Claudius,Sith nor the exterior nor the inward man,1050, Neither the outside nor the inside of a person
Act II,Scene II,King Claudius,"Resembles that it was. What it should be,",1051," Looks like it could have been. What it ought to be,"
